valid_chain_sequence_condition|valid_R1R0_entry_number,sequence_end,is_even,is_odd,valid_R0R0_entry_number,valid_chains_sequence_R0_advantage_corollary,canonical_chain,extract_simple_chains,count_operations,sum_contributions,generalized_valid_chains_sequence_R0_advantage
valid_chains_sequence_R0_advantage_corollary|valid_chain_sequence_condition,canonical_chain,extract_simple_chains,sum_contributions,valid_R1R0_entry_number,is_odd,valid_R0R0_entry_number,sequence_end,repeat_R1R0,is_even,repeat_R0,generalized_valid_chains_sequence_R0_advantage
valid_chains_condition|valid_chain_sequence_condition,chains_R0_advantage,canonical_chain,extract_simple_chains,count_operations,sum_contributions,universal_R0_advantage_bounds,count_operations_canonical_chain
chains_R0_advantage|canonical_chain,extract_simple_chains,sum_contributions,universal_R0_advantage_bounds,count_operations_canonical_chain
universal_R0_advantage_bounds|count_operations,count_operations_canonical_chain
valid_sequence_app|CollatzOp,valid_sequence,nth_sequence_value,nth_sequence_value_app
log2_mul_pow2|log2,log2_mult_power2,gt_0_2_pow
R1R0_entry_d_log2_bound|valid_R1R0_entry_number,log2,log2_spec
extract_simple_chains_app|extract_simple_chains
sum_contributions_app|sum_contributions
chains_R0_advantage_app|chains_R0_advantage,count_operations_app,count_operations,canonical_chain,extract_simple_chains_app,sum_contributions_app
build_k_steps_add|build_k_steps,sequence_end_app
direct_conversion_to_mod6_2_orbit_canonical|valid_input,CollatzOp,build_k_steps,valid_sequence,sequence_end,build_k_steps_numeric_canonical,repeat_R1R0,repeat_R1R0_length,build_k_steps_valid,R1R0_output_mod6,R1R0_entry_d_log2_bound,log2_monotone,log2_mult_power2,build_k_steps_add,repeat_R0,repeat_R0_length,valid_sequence_app,sequence_end_app,valid_R0R0_entry_number,log2_mul_pow2,valid_R0R0_entry_number_properties,is_even,is_odd
mod62_R0advantage_canonical|is_odd,valid_R0R0_entry_number,build_k_steps,sequence_end,valid_R1R0_entry_number,valid_chains_condition,chains_R0_advantage,sum_contributions,is_even,build_k_steps_numeric_canonical,valid_R1R0_entry_number_is_odd,R1R0_output_mod6,repeat_R1R0_output_even,even_true_implies_even,even_2x,valid_chain_sequence_condition,valid_chains_sequence_R0_advantage_corollary,valid_R0R0_entry_number_properties
factor2_bounded|factor2,factor2_exp,factor2_odd,factor2_bounded_decomp,div2_divmod_eq
factor2|factor2_bounded,factor2_exp,factor2_odd,factor2_bounded_decomp,div2_divmod_eq
factor2_exp|factor2_odd,factor2_bounded_decomp,factor2_bounded,div2_divmod_eq
factor2_odd|factor2_bounded_decomp,factor2_bounded,div2_divmod_eq
factor2_bounded_decomp|factor2_bounded,div2_divmod_eq
factor2_bounded_odd|is_odd,factor2_bounded,div2_divmod_eq
factor2_spec_decomp|factor2_odd,factor2,factor2_bounded,factor2_bounded_decomp
factor2_spec_odd|is_odd,factor2,factor2_bounded_odd
canonical_mod62_macrostep_chains|factor2,sequence_end,canonical_mod62_macrostep_end,canonical_mod62_iterated_chains,canonical_mod62_iterated_end,canonical_mod62_macrostep_spec,valid_chains_condition,sum_contributions,extract_simple_chains,is_even,factor2_spec_decomp,factor2_odd,factor2_exp,is_odd,factor2_spec_odd,valid_R1R0_entry_number,valid_R1R0_entry_number_plus1,R1R0_output_mod6,repeat_R1R0_output_even,even_true_implies_even,even_2x,valid_chain_sequence_condition,valid_R0R0_entry_number,repeat_R0_output_reaches_one
canonical_mod62_macrostep_end|factor2,sequence_end,canonical_mod62_iterated_chains,canonical_mod62_macrostep_chains,canonical_mod62_iterated_end,canonical_mod62_macrostep_spec,valid_chains_condition,sum_contributions,extract_simple_chains,is_even,factor2_spec_decomp,factor2_odd,factor2_exp,is_odd,factor2_spec_odd,valid_R1R0_entry_number,valid_R1R0_entry_number_plus1,R1R0_output_mod6,repeat_R1R0_output_even,even_true_implies_even,even_2x,valid_chain_sequence_condition,valid_R0R0_entry_number,repeat_R0_output_reaches_one
canonical_mod62_iterated_chains|canonical_mod62_macrostep_chains,canonical_mod62_macrostep_end,canonical_mod62_iterated_end,canonical_mod62_macrostep_spec,valid_chains_condition,sum_contributions,extract_simple_chains,factor2,sequence_end,repeat_R1R0,is_even,factor2_spec_decomp,factor2_odd,factor2_exp,is_odd,factor2_spec_odd,valid_R1R0_entry_number,valid_R1R0_entry_number_plus1,R1R0_output_mod6,repeat_R1R0_output_even,even_true_implies_even,even_2x,valid_chain_sequence_condition,valid_R0R0_entry_number,repeat_R0_output_reaches_one
canonical_mod62_iterated_end|canonical_mod62_macrostep_spec,canonical_mod62_macrostep_chains,valid_chains_condition,sum_contributions,extract_simple_chains,factor2,sequence_end,repeat_R1R0,is_even,factor2_spec_decomp,factor2_odd,factor2_exp,is_odd,factor2_spec_odd,valid_R1R0_entry_number,valid_R1R0_entry_number_plus1,R1R0_output_mod6,repeat_R1R0_output_even,even_true_implies_even,even_2x,valid_chain_sequence_condition,valid_R0R0_entry_number,repeat_R0_output_reaches_one
canonical_mod62_macrostep_spec|canonical_mod62_macrostep_chains,canonical_mod62_macrostep_end,valid_chains_condition,sum_contributions,factor2,sequence_end,repeat_R1R0,is_even,factor2_spec_decomp,factor2_odd,factor2_exp,is_odd,factor2_spec_odd,valid_R1R0_entry_number,valid_R1R0_entry_number_plus1,R1R0_output_mod6,repeat_R1R0_output_even,even_true_implies_even,even_2x,valid_chain_sequence_condition,valid_R0R0_entry_number,repeat_R0_output_reaches_one
mod62_macrostep_iterated_lower_bound_canonical|canonical_mod62_iterated_chains,canonical_mod62_iterated_end,valid_chains_condition,sum_contributions,chains_R0_advantage,canonical_mod62_macrostep_chains,canonical_mod62_macrostep_end,canonical_mod62_macrostep_spec,valid_chains_sequence_R0_advantage_corollary,extract_simple_chains_app,sum_contributions_app
global_mod62_advantage_growth_canonical|valid_input,CollatzOp,build_k_steps,valid_sequence,sequence_end,canonical_mod62_iterated_chains,canonical_mod62_iterated_end,valid_chains_condition,sum_contributions,chains_R0_advantage,direct_conversion_to_mod6_2_orbit_canonical,mod62_macrostep_iterated_lower_bound_canonical
shortest_canonical_chain_is_R0R1R0|canonical_chain,repeat_R0
shortest_R1R0_chain_is_R1R0R0|canonical_chain,repeat_R1R0
R0R1R0_cycle_mod62|is_odd,sequence_end,even_3n_plus_1,nth_sequence_value,collatz_step
shortest_cycle_length|
